GENERAL MOTORS8   DETROIT              MI 48265 225000
GENESIS HEALTHCARE454 KENNETT SQUARE       PA 19348 82000
GENUINE PARTS180 ATLANTA              GA 30339 40000
GENWORTH FINANCIAL329 RICHMOND             VA 23230 3400
GILEAD SCIENCES92  FOSTER CITY          CA 94404 9000
GLOBAL PARTNERS334 WALTHAM              MA 2453  1770
GOLDMAN SACHS GROUP78  NEW YORK             NY 10282 34400
GOODYEAR TIRE & RUBBER184 AKRON                OH 44316 66000
GRAYBAR ELECTRIC420 SAINT LOUIS          MO 63105 8500
GROUP 1 AUTOMOTIVE261 HOUSTON              TX 77024 13500
GUARDIAN LIFE INS. CO. OF AMERICA218 NEW YORK             NY 10004 8876
HALLIBURTON173 HOUSTON              TX 77032 50000
HANESBRANDS432 WINSTON-SALEM        NC 27105 67800
HARLEY-DAVIDSON435 MILWAUKEE            WI 53208 6000
HARMAN INTERNATIONAL INDUSTRIES386 STAMFORD             CT 6901  26000
HARRIS363 MELBOURNE            FL 32919 21000
HARTFORD FINANCIAL SERVICES GROUP153 HARTFORD             CT 6155  16900
HCA HOLDINGS63  NASHVILLE            TN 37203 210500
HD SUPPLY HOLDINGS364 ATLANTA              GA 30339 14000
HENRY SCHEIN243 MELVILLE             NY 11747 21000
HERSHEY369 HERSHEY              PA 17033 17140
HERTZ GLOBAL HOLDINGS296 ESTERO               FL 33928 36000
HEWLETT PACKARD ENTERPRISE59  PALO ALTO            CA 94304 195000
HILTON WORLDWIDE HOLDINGS241 MCLEAN               VA 22102 169000
HOLLYFRONTIER274 DALLAS               TX 75201 2676
HOME DEPOT23  ATLANTA              GA 30339 406000
HONEYWELL INTERNATIONAL73  MORRIS TOWNSHIP      NJ 7962  131000
HORMEL FOODS295 AUSTIN               MN 55912 21100
HOST HOTELS & RESORTS472 BETHESDA             MD 20817 220000
HP61  PALO ALTO            CA 94304 49000
HRG GROUP418 NEW YORK             NY 10022 16021
HUMANA53  LOUISVILLE           KY 40202 51600
HUNTINGTON INGALLS INDUSTRIES380 NEWPORT NEWS         VA 23607 37000
HUNTSMAN289 SALT LAKE CITY       UT 84108 15000
IBM32  ARMONK               NY 10504 414400
ICAHN ENTERPRISES168 NEW YORK             NY 10153 90980
IHEARTMEDIA426 SAN ANTONIO          TX 78209 18700
ILLINOIS TOOL WORKS202 GLENVIEW             IL 60026 50000
INGREDION456 WESTCHESTER          IL 60154 11000
INSIGHT ENTERPRISES473 TEMPE                AZ 85283 5930
INTEL47  SANTA CLARA          CA 95054 106000
INTERCONTINENTAL EXCHANGE437 ATLANTA              GA 30328 5631
INTERNATIONAL PAPER133 MEMPHIS              TN 38197 55000
INTERPUBLIC GROUP345 NEW YORK             NY 10036 49800
INTL FCSTONE189 NEW YORK             NY 10017 1464
J.B. HUNT TRANSPORT SERVICES407 LOWELL               AR 72745 22190
J.C. PENNEY221 PLANO                TX 75024 106000
J.M. SMUCKER346 ORRVILLE             OH 44667 6910
J.P. MORGAN CHASE21  NEW YORK             NY 10017 243355
JABIL CIRCUIT152 SAINT PETERSBURG     FL 33716 138000
JACOBS ENGINEERING GROUP259 DALLAS               TX 75201 49350
JETBLUE AIRWAYS403 LONG ISLAND CITY     NY 11101 15986
JOHNSON & JOHNSON35  NEW BRUNSWICK        NJ 8933  126400
JONES FINANCIAL404 DES PERES            MO 63131 43000
